Symbol,Exchange,PrimaryMkt,SecurityType,MaxLots,LotSize,BasePrice,ADV,RIC,BSYM,TKR,CUSIP,GSS,SEDOL,ISIN
1,XHKG,Y,CS,3000,500.0,90.05,,0001.HK,"1 HK",00001,9HH1Y8D22,HK1,BW9P816,KYG217651051
2,XHKG,Y,CS,3000,500.0,72.55,3510540.0,0002.HK,"2 HK",00002,169400108,HK2,6097017,HK0002007356
3,XHKG,Y,CS,3000,1000.0,14.54,6364665.0,0003.HK,"3 HK",00003,438550105,HK3,6436557,HK0003000038
4,XHKG,Y,CS,3000,1000.0,41.45,4918754.0,0004.HK,"4 HK",00004,962257101,HK4,6435576,HK0004000045
5,XHKG,Y,CS,3000,400.0,50.30,2000,0005.HK,"5 HK",00005,404990111,HK5,6158163,
6,XHKG,Y,CS,3000,500.0,76.50,3825474.0,0006.HK,"6 HK",00006,438580102,HK6,6435327,HK0006000050
7,XHKG,Y,CS,3000,2000.0,0.62,,0007.HK,"7 HK",00007,9HH1DQV82,HK7,B9545S2,BMG4613K1099
8,XHKG,Y,CS,3000,1000.0,5.04,16660842.0,0008.HK,"8 HK",00008,421993544,HK8,6574071,HK0008011667
9,XHKG,Y,CS,3000,6000.0,0.54,2000,0009.HK,"9 HK",00009,9HH1D8K84,HK9,BYQPMW2,BMG2147H1051
10,XHKG,Y,CS,3000,1000.0,21.00,739585.0,0010.HK,"10 HK",00010,9EQ2BDC89,HK10,6408352,HK0010000088
11,XHKG,Y,CS,3000,100.0,137.10,2269829.0,0011.HK,"11 HK",00011,41043C106,HK11,6408374,HK0011000095
12,XHKG,Y,CS,3000,1000.0,45.55,2476945.0,0012.HK,"12 HK",00012,425990108,HK12,6420538,HK0012000102
14,XHKG,Y,CS,3000,1000.0,33.10,2162194.0,0014.HK,"14 HK",00014,449990118,HK14,6449629,HK0014000126
15,XHKG,Y,CS,3000,2000.0,0.60,195333.0,0015.HK,"15 HK",00015,302998539,HK15,6536457,BMG932121434
16,XHKG,Y,CS,3000,1000.0,88.05,5012999.0,0016.HK,"16 HK",00016,86676H104,HK16,6859927,HK0016000132
17,XHKG,Y,CS,3000,1000.0,7.21,7796757.0,0017.HK,"17 HK",00017,649274107,HK17,6633767,HK0017000149
18,XHKG,Y,CS,3000,2000.0,0.72,485331.0,0018.HK,"18 HK",00018,686990235,HK18,6661490,HK0018000155
19,XHKG,Y,CS,3000,500.0,82.40,2080234.0,0019.HK,"19 HK",00019,870794104,HK19,6867748,HK0019000162
20,XHKG,Y,CS,3000,1000.0,33.45,989169.0,0020.HK,"20 HK",00020,981990153,HK20,6981488,HK0020000177
21,XHKG,Y,CS,3000,5000.0,0.19,412233.0,0021.HK,"21 HK",00021,9EQ00D252,HK21,,HK0021013641
22,XHKG,Y,CS,3000,40000.0,0.22,514250.0,0022.HK,"22 HK",00022,G0518K103,HK22,6056193,BMG6051D1175
23,XHKG,Y,CS,3000,200.0,28.00,2922706.0,0023.HK,"23 HK",00023,065990137,HK23,6075648,HK0023000190
24,XHKG,Y,CS,3000,2000.0,0.27,3404667.0,0024.HK,"24 HK",00024,410996235,HK24,6155948,BMG1808K1009
25,XHKG,Y,CS,3000,2000.0,12.40,420945.0,0025.HK,"25 HK",00025,G2097Z105,HK25,6616984,BMG2097Z1471
26,XHKG,Y,CS,3000,200.0,73.50,950.0,0026.HK,"26 HK",00026,169990132,HK26,6190897,HK0026000205
27,XHKG,Y,CS,3000,1000.0,25.80,30612272.0,0027.HK,"27 HK",00027,460990286,HK27,6465874,HK0027032686
28,XHKG,Y,CS,3000,1000.0,3.99,2190286.0,0028.HK,"28 HK",00028,872990379,HK28,6745617,HK0028013271
29,XHKG,Y,CS,3000,2000.0,2.87,46000.0,0029.HK,"29 HK",00029,114669013,HK29,6290117,BMG2889K1678
30,XHKG,Y,CS,3000,2000.0,0.11,,0030.HK,"30 HK",00030,9HH26KVY4,HK30,BYQNR65,BMG0865U1009
31,XHKG,Y,CS,3000,2000.0,0.95,3526934.0,0031.HK,"31 HK",00031,166990002,HK31,6215875,HK0031044180
