Exchange,Symbol,Segment,SecurityType,PrimaryExch,LotSize,Restriction,OutstandingShares,ADV,MaxShares,MaxGrossShares,OddLot,MaxLots,MktPriceTick,MktPriceTolerance,PriceRangePct,BidPriceRangePct,AskPriceRangePct,RIC,QUIK,ISIN,BSYM,CUSIP,SEDOL,Currency,ClosePrice,BasePrice,PriceMult,ContractMult,Last,Bid,Ask,MinPrice,MaxPrice,MovingAvgPx,SettlePx,IAP,TrdStatus,MktCode,Tick,TickSize,Flags,Attributes,MovingAvgWindow,MovingAvgFreq,Partition,TickGroup,DerType,Underlying,OptionType,ExerciseStyle,StrikePrice,MaturityYearMonth,MaturityDay,ShortOptionMin,ContractValueFactor,Delta,MaxIntraGrossShares,MaxFutIntraGrossShares,ExposureMarginPct,FutureExtremeLossMarginPct,OptionExtremeLossMarginPct,SpreadExtremeLossMarginPct,RiskArray0,RiskArray1,RiskArray2,RiskArray3,RiskArray4,RiskArray5,RiskArray6,RiskArray7,RiskArray8,RiskArray9,RiskArray10,RiskArray11,RiskArray12,RiskArray13,RiskArray14,RiskArray15,ExecExchange,TrackedPrice,SharedAvail,SharedUsed
"T","2678","","CS","T",100,,,168936,,,Y,5525,Y,Y,,,,"2678.T","","JP3119920001","2678 JT","9JE008RE9","6294498","",,3930,,,,,,3445,4845,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","3329","","CS","T",100,,,3414,,,Y,409,Y,Y,,,,"3329.T","","JP3622800005","3329 JT","9JE00GSG5","B01H173","",,1919,,,,,,1521,2321,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","6273","","CS","T",100,,,181057,,,Y,1460,Y,Y,,,,"6273.T","","JP3162600005","6273 JT","784990301","6763965","",,27385,,,,,,22510,32510,,,,,,"N",,,,,,,2,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","3593","","CS","T",100,,,45250,,,Y,1634,Y,Y,,,,"3593.T","","JP3840800001","3593 JT","434990669","6439040","",,6870,,,,,,5780,7780,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","8871","","CS","T",100,,,190357,,,Y,3578,Y,Y,,,,"8871.T","","JP3306800008","8871 JT","380990176","6123343","",,1868,,,,,,1444,2244,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","1981","","CS","T",100,,,900,,,Y,1180,Y,Y,,,,"1981.T","","JP3254800000","1981 JT","9JE008EI4","6499549","",,497,,,,,,401,561,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","5974","","CS","T",100,,,6707,,,Y,342,Y,Y,,,,"5974.T","","JP3521400006","5974 JT","171990203","6195944","",,697,,,,,,582,782,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","1475","","CS","T",1,,,190958,,,Y,321139,Y,Y,,,,"1475.T","","JP3048120004","1475 JT","9JE0PAEO9","BZ1FCR9","",,1353,,,,,,1094,1694,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","2286","","CS","T",1000,,,228571,,,Y,891,Y,Y,,,,"2286.T","","JP3772200006","2286 JT","420990111","6416106","",,92,,,,,,63,123,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","2531","","CS","T",100,,,462464,,,Y,21770,Y,Y,,,,"2531.T","","JP3459600007","2531 JT","874990146","6870382","",,954,,,,,,842,1142,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","9639","","CS","T",1000,,,11250,,,Y,233,Y,Y,,,,"9639.T","","JP3328200005","9639 JT","801990094","6860394","",,884,,,,,,732,1032,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","7908","","CS","T",100,,,59014,,,Y,5477,Y,Y,,,,"7908.T","","JP3242600009","7908 JT","494990161","6491545","",,164,,,,,,119,219,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","8710","","CS","T",1,,,553,,,Y,10000,Y,Y,,,,"8710.T","","","8710 JT","9JE031GN3","B28Y9V1","",,6160,,,6160,,,4160,6160,,,,,,"U",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","8245","","CS","T",1000,,,40286,,,Y,1303,Y,Y,,,,"8245.T","","JP3872000009","8245 JT","573990207","6569486","",,90,,,,,,60,120,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","6703","","CS","T",1000,,,4959571,,,Y,8721,Y,Y,,,,"6703.T","","JP3194000000","6703 JT","678990110","6657682","",,153,,,,,,111,211,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","8133","","CS","T",100,,,87107,,,Y,11688,Y,Y,,,,"8133.T","","JP3144000001","8133 JT","9FI570G38","6467825","",,919,,,,,,787,1087,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","2533","","CS","T",1000,,,70786,,,Y,655,Y,Y,,,,"2533.T","","JP3307400006","2533 JT","380990267","6374301","",,207,,,,,,127,287,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","6098","","CS","T",100,,,3281121,,,Y,10680,Y,Y,,,,"6098.T","","JP3970300004","6098 JT","9JE0EKFW0","BQRRZ00","",,3745,,,,,,2895,4295,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","2229","","CS","T",100,,,619971,,,Y,10126,Y,Y,,,,"2229.T","","JP3220580009","2229 JT","9JE069SQ3","B3TBRZ8","",,3950,,,,,,3435,4835,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","2703","","CS","T",100,,,23986,,,Y,1245,Y,Y,,,,"2703.T","","JP3754450009","2703 JT","9JE0090C0","6374367","",,222,,,,,,146,306,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","5212","","CS","T",100,,,1000,,,Y,214,Y,Y,,,,"5212.T","","JP3808400000","5212 JT","9JE008GA9","6356213","",,400,,,,,,320,480,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","5008","","CS","T",1000,,,52786,,,Y,1244,Y,Y,,,,"5008.T","","JP3556800005","5008 JT","888990181","6894542","",,122,,,,,,71,171,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","8129","","CS","T",100,,,370821,,,Y,7827,Y,Y,,,,"8129.T","","JP3602600003","8129 JT","889992152","6895556","",,2725,,,,,,2194,3195,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","3226","","CS","T",1,,,1157,,,Y,4850,Y,Y,,,,"3226.T","","JP3046440008","3226 JT","9JE01SLB6","B182BB2","",,460000,,,,,,395500,536000,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","5715","","CS","T",1000,,,1568429,,,Y,4044,Y,Y,,,,"5715.T","","JP3826800009","5715 JT","361990112","6357603","",,165,,,,,,121,221,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","3653","","CS","T",100,,,467493,,,Y,526,Y,Y,,,,"3653.T","","JP3927550008","3653 JT","9JE092LZ2","B691CG5","",,9650,,,9650,,,8000,11000,,,,,,"U",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
